Wood Width,Wood Thickness,Iron Width,Iron Thickness,Edge Distance,Bolt Diameter,Bolt Number,Bolt Type,Load Ratio,Weight,Fire Resistance Time,Load carrying capacity
320.1198335,200.2216325,161.5495987,6,105.1548819,7.229070375,8,1,10,-151.0206146,18.77621695,-48107.95482
320.1198335,200.2216325,167.3618701,6,109.8814549,7.39675072,8,1,10,-151.0206146,18.90999223,-50089.81261
320.8552479,200.2216325,161.5495987,6,105.9468908,9.186336824,8,1,10,-151.0206146,19.46762746,-73264.63321
320.8552479,200.2216325,161.5495987,6,105.1548819,10.51228221,8,1,10,-151.0206146,20.00097584,-92704.0829
320.1198335,200.2216325,161.5495987,6,105.1548819,11.88200925,8,1,10,-151.0206146,20.59199236,-114682.3578
320.1198335,200.2216325,161.5495987,6,109.8814549,12.59331301,8,1,10,-151.0206146,20.94748703,-126819.7379
320.8552479,200.2216325,161.5495987,6,101.5889863,12.20383043,8,1,10,-150.8452301,20.78561135,-120113.938
320.1198335,200.2216325,161.5495987,6.09136003,124.6670415,19.53111574,5.352649233,1,10,-150.611557,22.9574242,-179375.8653
320.8552479,200.2216325,161.5495987,6.09136003,124.6670415,19.40016173,5.511679415,1,10,-150.611557,23.07590206,-182630.456
320.8552479,200.2216325,161.5495987,6.09136003,124.6670415,19.53111574,5.603622705,1,10,-150.611557,23.23718454,-187786.3891
320.8552479,200.2216325,161.5495987,6.09136003,124.6670415,19.40016173,5.942946416,1,10,-150.611557,23.49029669,-196920.5631
320.1198335,198.6589627,173.9755198,6,110.3751134,7.22890718,4.713897862,1,10,-150.5798187,18.39189461,-28345.87124
320.1198335,197.4133928,172.1698201,6,108.5972805,9.366409923,5.335207497,1,10,-150.5798187,18.82445802,-50547.55275
320.8552479,197.4133928,176.3173559,6,108.5972805,9.495481387,5.932437617,1,10,-150.5798187,19.0872687,-57566.71216
320.1198335,198.3861215,172.2969658,6.070407964,109.8814549,10.10714886,5.542543703,1,10,-150.5798187,19.18434147,-59975.77026
320.8552479,197.4133928,176.3173559,6,108.5972805,11.40871294,5.235663802,1,10,-150.5798187,19.45622378,-69946.46495
320.4316654,197.4133928,161.5495987,6.09136003,108.5972805,12.12800323,5.603622705,1,10,-150.5798187,19.6187506,-83231.44216
320.1198335,198.6589627,167.3618701,6.070407964,109.8814549,12.54746347,5.597246223,1,10,-150.5798187,19.93339926,-88172.64065
320.1198335,197.519808,173.9755198,6.022257766,107.5757812,10.10714886,5.448438886,1,10,-150.505722,19.09158935,-58957.46365
320.1198335,197.519808,173.9755198,6.022257766,107.5757812,10.19130253,5.448438886,1,10,-150.505722,19.11503051,-59815.98657
320.1198335,198.6589627,161.5495987,6,105.1548819,6.599462341,4.931708975,1,10,-150.4176483,18.13306458,-25255.73814
320.1198335,199.7875873,161.5495987,6,105.1548819,6.991596276,5.886513647,1,10,-150.4176483,18.40864198,-33375.60948
320.6552133,200.4083336,161.5495987,6.022257766,107.0828154,17.27178215,4.823266262,1,10,-150.381897,21.43400619,-131355.2644
320.8552479,200.2216325,167.3618701,6.070407964,108.5972805,16.09795522,5.643721005,1,10,-150.381897,21.59013055,-136367.7373
320.1198335,200.2216325,161.5495987,6,108.5972805,16.09795522,5.924779476,1,10,-150.381897,21.62807532,-143158.8788
320.1198335,200.2216325,173.9755198,6,114.9221344,16.25813637,5.924779476,1,10,-150.381897,21.88538749,-145593.9776
320.8552479,200.2216325,161.5495987,6,114.9221344,17.23309242,5.673044128,1,10,-150.381897,22.04476683,-153911.4237
320.8552479,200.2216325,172.1698201,6,108.5972805,17.38458697,5.873189115,1,10,-150.381897,22.42803297,-161723.4292
320.8552479,200.2216325,172.1698201,6,108.5972805,17.38458697,5.932437617,1,10,-150.381897,22.47373818,-163354.8888
320.1198335,200.2216325,173.9755198,6,109.8814549,17.38458697,5.979763942,1,10,-150.381897,22.5009095,-164658.0608
320.8552479,200.2216325,161.5495987,6,105.1548819,18.79526737,5.3419118,1,10,-150.381897,22.5611741,-167821.3602
320.8552479,200.2216325,173.9755198,6.09136003,112.7387775,18.33801592,5.603622705,1,10,-150.381897,22.77246193,-168882.8737
320.8552479,200.2216325,173.9755198,6.09136003,110.3751134,18.33801592,5.603622705,1,10,-150.381897,22.77246193,-168882.8737
